,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,"CO-OCCURRENCES S1,S2,S3",,,,,,,,,,,
,,,,,,,,,,,,
,S3,,,,,,,,,,,
,Relesease,FE e LM,DCO e LM,DCO e FE,GC e LM,IC e LM,GC e SS,FE e GC,FE e RFB,DCO e GC,FE e SS,TOTAL CO-OCCURRENCES
,v0.1,2,2,3,1,1,6,4,0,5,0,24
,v0.2,3,4,4,6,0,0,1,0,5,0,23
,v0.2.1,3,5,4,8,1,4,2,0,6,0,33
,TOTAL,8,11,11,15,2,10,7,0,16,0,
,,,,,,,,,,,,
,S2,,,,,,,,,,,
,Release,FE e LM,DCO e LM,DCO e FE,GC e LM,IC e LM,GC e SS,FE e GC,FE e RFB,DCO e GC,FE e SS,TOTAL CO-OCCURRENCES
,v0.1,1,2,2,5,0,0,1,0,2,0,13
,v0.2,1,1,0,2,0,0,2,0,1,0,7
,v1.0,3,4,1,6,0,2,5,0,2,1,24
,TOTAL,5,7,3,13,0,2,8,0,5,1,
,,,,,,,,,,,,
,S1,,,,,,,,,,,
,Release,FE e LM,DCO e LM,DCO e FE,GC e LM,IC e LM,GC e SS,FE e GC,FE e RFB,DCO e GC,FE e SS,TOTAL CO-OCCURRENCES
,v1.0,9,1,5,7,0,1,2,2,0,0,27
,v1.1,15,6,4,7,1,1,5,2,0,0,41
,v1.2,10,8,3,9,1,1,4,2,0,0,38
,v1.3,12,8,3,9,1,1,3,0,0,0,37
,v1.3.1,11,8,3,7,1,1,3,3,0,0,37
,TOTAL,57,31,18,39,4,5,17,9,0,0,
,,,,,,,,,,,,
,ALL RELEASES TOTAL,70,49,32,67,6,17,32,9,21,1,